"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2024","230.040","227.320","233.510","225.760","3.91M","1.17%"
"12/11/2024","227.380","213.630","230.460","211.600","4.69M","6.42%"
"12/10/2024","213.670","216.560","220.640","203.470","7.02M","-1.55%"
"12/09/2024","217.030","237.110","237.110","206.050","7.39M","-8.46%"
"12/08/2024","237.080","238.160","241.470","233.400","2.22M","-0.53%"
"12/07/2024","238.350","236.840","243.060","234.190","2.93M","0.68%"
"12/06/2024","236.740","235.870","246.900","231.110","5.14M","0.23%"
"12/05/2024","236.200","229.340","244.680","222.960","7.39M","3.08%"
"12/04/2024","229.140","234.530","240.660","224.720","4.97M","-2.03%"
"12/03/2024","233.890","225.680","239.330","215.170","6.92M","3.60%"
"12/02/2024","225.770","236.800","238.000","220.150","5.87M","-4.63%"
"12/01/2024","236.720","237.230","239.810","234.190","2.43M","-0.36%"
"11/30/2024","237.580","243.210","245.260","237.560","2.28M","-2.33%"
"11/29/2024","243.240","237.900","246.710","236.660","2.89M","2.38%"
"11/28/2024","237.590","242.190","245.240","232.970","2.69M","-1.79%"
"11/27/2024","241.930","230.500","243.320","227.670","3.81M","4.84%"
"11/26/2024","230.760","234.210","239.650","222.550","5.01M","-1.39%"
"11/25/2024","234.020","252.720","256.470","231.250","4.70M","-7.42%"
"11/24/2024","252.770","254.550","259.680","241.480","3.67M","-0.83%"
"11/23/2024","254.890","256.880","263.940","252.750","4.84M","-0.65%"
"11/22/2024","256.570","256.900","264.200","251.580","5.16M","0.03%"
"11/21/2024","256.490","235.480","259.320","230.040","8.59M","8.92%"
"11/20/2024","235.480","237.550","242.080","230.660","5.48M","-0.87%"
"11/19/2024","237.540","239.790","247.440","233.730","5.59M","-0.92%"
"11/18/2024","239.740","237.470","248.390","234.060","7.49M","0.95%"
"11/17/2024","237.490","215.630","241.910","212.210","8.43M","10.13%"
"11/16/2024","215.650","218.190","221.900","213.580","4.21M","-1.28%"
"11/15/2024","218.450","209.600","220.170","204.600","5.27M","4.27%"
"11/14/2024","209.500","215.290","222.800","207.140","7.46M","-2.62%"
"11/13/2024","215.130","211.800","220.370","201.000","10.83M","1.69%"
"11/12/2024","211.550","222.330","225.060","205.150","9.00M","-4.75%"
