UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
DAY,1623888000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,40.23,40.57,38.3,39.13,1623943977,1623973474,40.23,40.57,1623945307,38.3,1623950835,39.13,258,127,131,0,6007.61849007,236628.436335307,2885.66032407,114301.07214428,3121.958166,122327.364191025,0,0
DAY,1623974400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,39.13,39.36,35,36.62,1623974595,1624060388,39.14,39.36,1623994862,35,1624041638,36.62,526,319,207,0,13557.35719612,502474.717752214,7925.47230903,293649.279430249,5631.88488709,208825.438321962,0,0
DAY,1624060800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,36.62,37.35,35,35.45,1624060842,1624143938,36.82,37.35,1624065501,35,1624127515,35.45,574,327,247,0,16986.16371574,609327.784744553,9258.36113284,333665.952017871,7727.8025829,275661.832726678,0,0
DAY,1624147200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,35.45,35.89,31.48,35.28,1624147335,1624231021,35.09,35.89,1624222335,31.48,1624191777,35.28,1229,633,596,0,38681.26577486,1306981.51117529,21052.57977386,712891.695609645,17628.686001,594089.815565619,0,0
DAY,1624233600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,35.28,35.28,26,26.55,1624233956,1624319406,35.08,35.08,1624233957,26,1624316329,26.55,1588,649,939,0,41903.6132245,1257696.41559448,15380.74557898,461216.355537916,26522.86764552,796480.060056584,0,0
DAY,1624320000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,26.55,28.69,20.2,26.18,1624320117,1624405344,26.43,28.69,1624324536,20.2,1624370131,26.18,1716,778,938,0,43706.21997977,1076874.57184777,19906.71598101,492521.588825549,23799.50399876,584352.983022185,0,0
DAY,1624406400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,26.18,32.71,26.18,30,1624408274,1624489777,26.79,32.71,1624454076,26.79,1624408274,30,1284,765,519,0,37290.44458076,1144480.84417245,19295.57559723,590844.523048527,17994.86898353,553636.321123905,0,0
DAY,1624492800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,30,33.56,28.64,32.6,1624495334,1624558068,30.25,33.56,1624555993,28.64,1624503637,32.6,320,204,116,0,8774.80985671,269297.782581797,6031.16330565,186934.72599218,2743.64655106,82363.0565896176,0,0
DAY,1624579200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,32.6,32.6,28.37,29.03,1624654805,1624665134,29.47,29.47,1624654818,28.37,1624661465,29.03,111,10,101,0,4162.9562963,122328.302819887,94.00357112,2714.1388708522,4068.95272518,119614.163949035,0,0
DAY,1624665600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,29.03,30.02,26.7,29.38,1624665697,1624751554,28.69,30.02,1624668624,26.7,1624694933,29.38,872,288,584,0,26213.15592514,736585.061259211,7443.19446378,210199.229629844,18769.96146136,526385.831629367,0,0
DAY,1624752000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,29.38,31.86,29.22,31.75,1624752007,1624838202,29.75,31.86,1624838077,29.22,1624752380,31.75,369,172,197,0,8770.79977198,268271.305307167,4101.41897938,126084.27853102,4669.3807926,142187.02677615,0,0
DAY,1624838400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,31.75,39.02,31.27,32.98,1624838419,1624924725,31.85,39.02,1624866670,31.27,1624850669,32.98,788,361,427,0,31822.5439439,1055534.59811029,11723.01868905,384925.169312547,20099.52525485,670609.428797694,0,0
DAY,1624924800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,32.98,40,32.87,33.78,1624924896,1625010943,32.98,40,1624964031,32.87,1624934935,33.78,997,381,616,0,41821.27190536,1454771.50777568,15048.42496008,524081.394966017,26772.84694528,930690.112809684,0,0
DAY,1625011200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,33.78,35.83,31.32,35.83,1625011318,1625094618,33.88,35.83,1625094618,31.32,1625047008,35.83,2107,479,1628,0,79213.61419526,2605439.97237973,19064.56615758,640651.589176448,60149.04803768,1964788.38320331,0,0
DAY,1625097600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,35.83,35.83,32.4,33.4,1625097606,1625183894,35.57,35.57,1625097606,32.4,1625126567,33.4,1396,782,614,0,36924.84318961,1242391.48932409,20125.79965213,678967.90605357,16799.04353748,563423.583270478,0,0
DAY,1625184000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,33.4,34.07,31.44,34.07,1625184107,1625270268,33.24,34.07,1625270268,31.44,1625206635,34.07,1801,961,840,0,45209.4887752,1484025.27528674,22837.07364444,754095.089426766,22372.41513076,729930.185860017,0,0
DAY,1625270400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,34.07,35.35,33.34,34.53,1625270429,1625356639,34.06,35.35,1625309020,33.34,1625284035,34.53,1472,689,783,0,38210.44831316,1314964.15065147,17034.80407486,587922.91206998,21175.6442383,727041.238581502,0,0
DAY,1625356800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,34.53,35.54,33.61,34.36,1625357225,1625443163,34.43,35.54,1625385714,33.61,1625364026,34.36,1338,662,676,0,51599.70355906,1795818.71583424,21694.75242998,756428.267883476,29904.95112908,1039390.44795079,0,0
DAY,1625443200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,34.36,34.47,32.46,32.91,1625443217,1625529224,34.31,34.47,1625482248,32.46,1625507040,32.91,1392,467,925,0,34278.72189983,1148150.70761745,9933.00587469,333794.535491247,24345.71602514,814356.172126194,0,0
